Player,PID,Nationality,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Glenn Phillips,90193,80011,0,0,0,0,0,0,0,0,0,0,0,0,0,50001,50006
Gnaneswara Rao,90639,80006,0,0,0,50013,0,0,0,0,0,0,0,0,0,0,0
Graeme Smith,90190,80016,50001,50001,50001,50014,50014,50006,0,0,0,0,0,0,0,0,0
Graham Napier,90198,80004,0,50005,50005,0,0,0,0,0,0,0,0,0,0,0,0
Gulam Bodi,90747,80016,0,0,0,0,50008,50008,0,0,0,0,0,0,0,0,0
Gulbadin Naib,90748,80001,0,0,0,0,0,0,0,0,50009,0,0,0,0,0,0
Gurinder Sandhu,90199,80002,0,0,0,0,0,0,0,50008,0,0,0,0,0,0,0
Gurinder Singh,90749,80006,0,0,0,0,0,0,0,50009,0,0,0,0,0,0,50007
Gurkeerat Singh,90200,80006,0,0,0,0,50009,50009,50009,50009,50009,50009,50008,50010,50010,50004,50007
Halhadar Das,90201,80006,50002,50002,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamid Hassan,90750,80001,0,0,0,0,0,0,0,0,50015,0,0,0,0,0,0
Hamilton Masakadza,90751,80021,0,0,0,0,0,0,0,0,50015,0,0,0,0,0,0
Hanuma Vihari,90194,80006,0,0,0,0,0,50006,0,50006,0,0,0,50008,50004,50001,50009
Harbhajan Singh,90203,80006,50005,50005,50005,50005,50005,50005,50005,50005,50005,50005,50003,50003,50003,50004,0
Hardik Pandya,90211,80006,0,0,0,0,0,0,0,50005,50005,50005,50005,50005,50005,50005,50007
Hardus Viljoen,90191,80016,0,0,0,0,0,0,0,0,0,0,0,50009,50009,50003,0
Harishankar Reddy,90752,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,50003,50006
Harmeet Singh,90204,80006,0,50002,50002,50002,50009,50009,50001,0,0,0,0,0,0,0,0
Harpreet Brar,90205,80006,0,0,0,0,0,0,0,0,0,0,0,50009,50009,50009,50009
Harpreet Singh,90206,80006,0,0,50004,50014,50014,50014,0,0,0,50010,0,0,0,50008,0
Harry Gurney,90209,80004,0,0,0,0,0,0,0,0,0,0,0,50004,50004,0,0
Harshad Khadiwale,90753,80006,0,0,50004,50014,50014,50006,0,0,0,0,0,0,0,0,0
Harshal Patel,90214,80006,0,0,0,0,50010,50010,50010,50010,50010,50010,50008,50008,50008,50010,50010
Harvik Desai,90754,80006,0,0,0,0,0,0,0,0,0,0,50009,0,0,0,0
Haseeb Amjad,90755,80005,0,0,0,0,0,0,0,0,50010,0,0,0,0,0,0
Haseeb Hameed,90756,80004,0,0,0,0,0,0,0,0,0,0,0,0,0,50006,50007
Hashim Amla,90212,80016,0,0,0,0,0,0,0,0,50009,50009,0,0,0,0,0
Heinrich Klaasen,90202,80016,0,0,0,0,0,0,0,0,0,0,50001,50010,0,0,0
Hemang Badani,90757,80006,0,0,50003,0,0,0,0,0,0,0,0,0,0,0,0
Herschelle Gibbs,90210,80016,50002,50002,50002,0,50005,0,0,0,0,0,0,0,0,0,0
Himmat Singh,90758,80006,0,0,0,0,0,0,0,0,0,0,0,50010,0,50009,0
Hrithik Shokeen,90213,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50005
HS Sharath,90759,80006,0,0,0,0,0,0,50008,0,0,0,0,0,0,0,0
Imran Tahir,90221,80016,0,0,0,0,0,0,50008,50008,50008,50015,50003,50003,50003,50003,0
Imtiaz Ahmed,90760,80006,0,0,0,50014,0,50003,0,0,0,0,0,0,0,0,0
Iqbal Abdulla,90222,80006,50004,50004,50004,50004,50004,50004,50001,50010,50010,50010,0,0,0,0,0
Iresh Saxena,90761,80006,0,0,0,0,50004,0,0,0,0,0,0,0,0,0,0
Irfan Pathan,90220,80006,50009,50009,50009,50008,50008,50008,50006,50003,50015,50012,50005,50005,0,0,0
Ish Sodhi,90224,80011,0,0,0,0,0,0,0,0,50004,50004,50001,50001,50004,50004,50004
Ishan Kishan,90762,80006,0,0,0,0,0,0,0,0,50012,50012,50005,50005,50005,50005,50005
Ishan Malhotra,90215,80006,0,0,50005,50002,0,0,0,0,0,0,0,0,0,0,0
Ishan Porel,90219,80006,0,0,0,0,0,0,0,0,0,0,0,0,50009,50009,50009
Ishank Jaggi,90223,80006,0,50010,0,50002,50002,0,0,0,0,50004,50004,0,0,0,0
Ishant Sharma,90216,80006,50004,50004,50004,50002,50002,50006,50006,50006,50015,50009,0,50008,50008,50008,0
Ishwar Pandey,90218,80006,0,0,0,0,0,50014,50003,50003,50015,50015,0,0,0,0,0
Isuru Udana,90217,80017,0,0,0,0,0,0,0,0,0,0,0,0,50010,0,0
Jacob Oram,90240,80011,50003,50003,50003,50001,50001,50005,0,0,0,0,0,0,0,0,0
Jacques Kallis,90244,80016,50010,50010,50010,50004,50004,50004,50004,0,0,0,0,0,0,0,0
Jagadeesh Arunkumar,90226,80006,50010,50010,0,0,0,0,0,0,0,0,0,0,0,0,0
Jagadeesha Suchith,90228,80006,0,0,0,0,0,0,0,50005,50005,50005,0,50008,50009,50006,50006
Jalaj Saxena,90234,80006,0,0,0,0,0,50005,50005,50010,0,0,0,50008,0,50009,0
James Faulkner,90257,80002,0,0,0,50014,50009,50001,50001,50001,50012,50012,0,0,0,0,0
James Franklin,90243,80011,0,0,0,50005,50005,50005,0,0,0,0,0,0,0,0,0
James Hopes,90260,80002,50009,50009,50009,50008,50014,0,0,0,0,0,0,0,0,0,0
James Pattinson,90249,80002,0,0,0,50004,50004,50004,0,0,0,0,0,0,50005,0,0
Jamie Atkinson,90763,80005,0,0,0,0,0,0,0,0,50009,0,0,0,0,0,0
Jaskaran Singh,90235,80006,0,50002,50002,0,0,0,0,0,50015,50015,0,0,0,0,0
Jason Behrendorff,90255,80002,0,0,0,0,0,0,0,0,0,0,50005,50005,0,50003,50010
Jason Holder,90253,80020,0,0,0,0,0,50003,50006,0,50004,0,0,0,50006,50006,50011
Jason Roy,90246,80004,0,0,0,0,0,0,0,0,0,50012,50008,0,50008,50006,50007
Jasprit Bumrah,90245,80006,0,0,0,0,0,50005,50005,50005,50005,50005,50005,50005,50005,50005,50005
Jatin Saxena,90764,80006,0,0,0,0,50009,50009,0,0,0,0,50001,0,0,0,0
Javed Khan,90765,80006,0,0,0,0,0,50005,0,0,0,0,0,0,0,0,0
Javon Searles,90258,80020,0,0,0,0,0,0,0,0,0,0,50004,0,0,0,0
Jayant Yadav,90231,80006,0,0,0,0,0,0,50008,50008,50008,50008,50008,50005,50005,50005,50007
Jayden Seales,90766,80020,0,0,0,0,0,0,0,0,0,0,0,0,0,50004,0
Jaydev Shah,90767,80006,50001,50005,0,50002,50005,0,0,0,50012,50012,0,0,0,0,0
Jaydev Unadkat,90239,80006,0,0,50004,50004,50004,50010,50008,50008,50004,50015,50001,50001,50001,50001,50005
Jeevan Mendis,90106,80017,0,0,0,0,0,50008,0,0,0,0,0,0,0,0,0
Jefferey Vandersay,90768,80017,0,0,0,0,0,0,0,0,50005,0,0,0,0,0,0
Jerome Taylor,90242,80020,0,50009,0,50014,0,0,0,0,50005,0,0,0,0,0,0
Jesse Ryder,90238,80011,0,50010,50010,50014,50014,50008,50005,50005,0,0,0,0,0,0,0
Jhye Richardson,90233,80002,0,0,0,0,0,0,0,0,0,0,0,0,0,50009,0
Jimmy Neesham,90241,80011,0,0,0,0,0,0,50008,50004,0,0,0,0,50009,50005,50001
Jitendra Patil,90769,80006,0,50010,0,0,0,0,0,0,0,0,0,0,0,0,0
Jitesh Sharma,90252,80006,0,0,0,0,0,0,0,0,50005,50005,0,0,0,0,50009
Joe Denly,90248,80004,0,0,0,0,0,0,0,0,0,0,0,50004,0,0,0
Joel Paris,90770,80002,0,0,0,0,0,0,0,0,50008,0,0,0,0,0,0
Jofra Archer,90236,80004,0,0,0,0,0,0,0,0,0,0,50001,50001,50001,50001,50005
Joginder Sharma,90254,80006,50003,50003,50003,50003,50003,0,0,0,0,0,0,0,0,0,0
Joginder Singh,90771,80006,0,0,50008,0,0,0,0,0,0,0,0,0,0,0,0
Johan Botha,90227,80016,0,50001,50001,50001,50001,50008,50004,0,0,0,0,0,0,0,0
Johan van der Wath,90247,80016,0,0,0,50010,0,0,0,0,0,0,0,0,0,0,0
John Hastings,90262,80002,0,0,0,50013,0,0,50003,0,50004,0,0,0,0,0,0
Johnson Charles,90772,80020,0,0,0,0,0,0,0,0,50012,0,0,0,0,0,0
Jonathan Vandiar,90773,80016,0,0,0,50010,0,0,0,0,0,0,0,0,0,0,0
Jonny Bairstow,90250,80004,0,0,0,0,0,0,0,0,0,0,0,50006,50006,50006,50009
Jos Buttler,90237,80004,0,0,0,0,0,0,0,0,50005,50005,50001,50001,50001,50001,50001
Josh Davey,90774,80014,0,0,0,0,0,0,0,0,50015,50004,0,0,0,0,0
Josh Hazlewood,90259,80002,0,0,0,0,0,0,50005,50005,0,0,0,0,50003,50003,50010
Josh Inglis,90775,80002,0,0,0,0,0,0,0,0,0,0,0,0,0,50003,0
Josh Philippe,90261,80002,0,0,0,0,0,0,0,0,0,0,0,0,50010,50010,0
JP Duminy,90256,80016,0,50005,50005,50002,50002,50006,50008,50008,50008,50008,50005,50010,0,0,0
Junior Dala,90121,80016,0,0,0,0,0,0,0,0,0,0,50008,0,0,0,0
Justin Kemp,90251,80016,0,0,50003,0,0,0,0,0,0,0,0,0,0,0,0
Justin Langer,90776,80002,50001,50001,0,0,0,0,0,0,0,0,0,0,0,0,0
K. Bhagath Varma,90777,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,50003,50003
Kagiso Rabada,90267,80016,0,0,0,0,0,0,0,0,0,50008,50008,50008,50008,50008,50009
Kamlesh Nagarkoti,90287,80006,0,0,0,0,0,0,0,0,0,0,50004,50004,50004,50004,50008
Kamran Akmal,90274,80013,50001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamran Khan,90275,80006,0,50001,50001,50014,50014,50006,0,0,0,0,0,0,0,0,0
Kane Richardson,90301,80002,0,0,0,0,0,50014,50001,50001,50010,0,0,0,50010,50010,0
Kane Williamson,90298,80011,0,0,0,0,0,0,0,50006,50006,50006,50006,50006,50006,50006,50006
Kanishk Seth,90778,80006,0,0,0,0,0,0,0,0,0,0,50003,0,0,0,0
Karan Goel,90263,80006,50009,50009,50009,0,0,0,0,0,0,0,0,0,0,0,0
Karan Sharma,90297,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,50001,50011
Karanveer Singh,90276,80006,0,0,0,0,0,0,50009,50009,0,0,0,0,0,50003,0
Karim Sadiq,90779,80001,0,0,0,0,0,0,0,0,0,50009,0,0,0,0,0
Karn Kaushal,90780,80006,0,0,0,0,0,0,0,0,0,0,0,50006,0,0,0
Karn Sharma,90300,80006,0,50010,50010,0,0,50006,50006,50006,50006,50005,50003,50003,50003,50003,50010
Kartik Tyagi,90277,80006,0,0,0,0,0,0,0,0,0,0,0,0,50001,50001,50006
Karun Nair,90286,80006,0,0,0,0,50010,50010,50001,50001,50008,50008,50009,50009,50009,50004,50001
KB Arun Karthik,90781,80006,50003,50003,50003,50010,50010,50010,0,0,0,0,0,0,0,0,0
KC Cariappa,90279,80006,0,0,0,0,0,0,0,50004,50009,50009,0,50004,0,50001,50001
Kedar Devdhar,90782,80006,0,0,0,50002,50002,0,0,0,0,0,0,0,0,50001,0
Kedar Jadhav,90290,80006,0,50010,50008,50013,50008,50008,50008,50008,50010,50010,50003,50003,50003,50006,0
Keemo Paul,90291,80020,0,0,0,0,0,0,0,0,0,0,0,50008,50008,0,0
Kemar Roach,90273,80020,0,50002,50002,0,0,0,0,0,0,0,0,0,0,0,0
Kevin O'Brien,90783,80007,0,0,0,0,0,0,0,0,50008,0,0,0,0,0,0
Kevin Pietersen,90294,80004,0,50010,50010,50002,50008,50008,50008,50006,50015,0,0,0,0,0,0
Kevon Cooper,90285,80020,0,0,0,0,50001,50001,50001,0,0,0,0,0,0,0,0
Khaleel Ahmed,90284,80006,0,0,0,0,0,0,0,0,50008,50008,50006,50006,50006,50006,50008
Khawar Ali,90362,80012,0,0,0,0,0,0,0,0,50012,0,0,0,0,0,0
Kieron Pollard,90272,80020,0,0,50005,50005,50005,50005,50005,50005,50005,50005,50005,50005,50005,50005,50005
Kinchit Shah,90784,80005,0,0,0,0,0,0,0,0,0,50004,0,0,0,0,0
Kishore Kamath,90785,80006,0,0,0,0,0,0,0,0,50005,0,0,0,0,0,0
KK Jiyas,90786,80006,0,0,0,0,0,0,0,50008,0,0,0,0,0,0,0
KL Rahul,90288,80006,0,0,0,0,0,50010,50006,50006,50010,50010,50009,50009,50009,50009,50011
KM Asif,90289,80006,0,0,0,0,0,0,0,0,0,0,50003,50003,50003,50003,50003
KP Appanna,90293,80006,50010,50010,50010,0,50010,50010,0,0,0,0,0,0,0,0,0
Krishmar Santokie,90268,80020,0,0,0,0,0,0,50005,0,0,0,0,0,0,0,0
Krishnakant Upadhyay,90269,80006,0,0,0,0,50014,50014,0,0,0,0,0,0,0,0,0
Krishnan Shrijith,90787,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,50010,0
Krishnappa Gowtham,90264,80006,0,0,0,0,0,0,0,0,0,50005,50001,50001,50009,50003,50011
Krunal Pandya,90282,80006,0,0,0,0,0,0,0,0,50005,50005,50005,50005,50005,50005,50011
Kshitiz Sharma,90788,80006,0,0,0,0,0,0,0,50009,0,0,50003,0,0,0,0
Kuldeep Raval,90789,80006,0,0,0,0,50008,0,0,0,0,0,0,0,0,0,0
Kuldeep Sen,90295,80006,0,0,0,0,0,0,0,0,0,0,0,0,50001,50001,50001
Kuldeep Yadav,90270,80006,0,0,0,0,50005,0,50004,50004,50004,50004,50004,50004,50004,50004,50008
Kuldip Yadav,90790,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,50001,50001
Kulwant Khejroliya,90266,80006,0,0,0,0,0,0,0,0,0,50005,50010,50010,0,50008,50007
Kumar Boresa,90791,80006,0,0,0,0,0,50001,0,0,0,0,0,0,0,0,0
Kumar Kartikeya Singh,90265,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50005
Kumar Sangakkara,90280,80017,50009,50009,50009,50002,50002,50006,0,0,0,0,0,0,0,0,0
Kusal Perera,90346,80017,0,0,0,0,0,50001,0,0,0,0,0,0,0,0,0
Kuthethurshri Vasudevadas,90792,80006,0,0,0,50003,50003,0,0,0,0,0,0,0,0,0,0
Kyle Abbott,90283,80016,0,0,0,0,50009,0,0,50003,50009,0,0,0,0,0,0
Kyle Jamieson,90271,80011,0,0,0,0,0,0,0,0,0,0,0,0,0,50010,0
Kyle Mayers,90793,80020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50011
Kyle Mills,90794,80011,50009,50005,50005,0,0,0,0,0,0,0,0,0,0,0,0
Lakshmipathy Balaji,90303,80006,50003,50003,50003,50004,50004,50004,50009,0,0,0,0,0,0,0,0
Lalit Yadav,90308,80006,0,0,0,0,0,0,0,0,0,50004,0,0,50008,50008,50008
Lasith Malinga,90552,80017,50005,50005,50005,50005,50005,50005,50005,50005,50005,50005,0,50005,50005,0,0
Laxmi Ratan Shukla,90315,80006,50004,50004,50004,50004,50004,50004,50008,50006,0,0,0,0,0,0,0
Lee Carseldine,90306,80002,0,50001,0,0,0,0,0,0,0,0,0,0,0,0,0
Lendl Simmons,90313,80020,0,0,0,0,0,0,50005,50005,50005,50005,0,0,0,0,0
Liam Livingstone,90317,80004,0,0,0,0,0,0,0,0,0,0,0,50001,0,50001,50009
Liam Plunkett,90309,80004,0,0,0,0,0,0,0,0,0,0,50008,0,0,0,0
Lockie Ferguson,90310,80011,0,0,0,0,0,0,0,0,0,50015,0,50004,50004,50004,50007
Loots Bosman,90795,80016,50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Love Ablish,90302,80006,0,0,50009,50009,50009,0,0,0,0,0,0,0,0,0,0
Luke Pomersbach,90307,80002,50009,50009,50009,50010,50010,50009,0,0,0,0,0,0,0,0,0
Luke Ronchi,90305,80011,50005,50005,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Wright,90312,80004,0,0,0,0,50014,50014,0,0,0,0,0,0,0,0,0
Lukman Hussain Meriwala,90311,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,50008,0
Lungi Ngidi,90304,80016,0,0,0,0,0,0,0,0,0,0,50003,50003,50003,50003,50008
Luvnith Sisodia,90796,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50010
M. D. Nidheesh,90797,80006,0,0,0,0,0,0,0,0,0,0,50005,0,0,0,0
Maheesh Theekshana,90333,80017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50003
Mahela Jayawardene,90168,80017,50009,50009,50009,50013,50008,50008,0,0,0,0,0,0,0,0,0
Mahendra Singh Dhoni,90378,80006,50003,50003,50003,50003,50003,50003,50003,50003,50015,50015,50003,50003,50003,50003,50003
Mahesh Rawat,90331,80006,50001,50001,0,0,0,50014,0,0,0,0,0,0,0,0,0
Mahipal Lomror,90358,80006,0,0,0,0,0,0,0,0,0,0,50001,50001,50001,50001,50010
Mahmudullah Riyad,90798,80003,0,0,0,0,0,0,0,0,50010,50005,0,0,0,0,0
Makhaya Ntini,90328,80016,50003,50003,50003,0,0,0,0,0,0,0,0,0,0,0,0
Manan Sharma,90799,80006,0,0,0,0,0,0,0,0,50004,0,0,0,0,0,0
Manan Vohra,90335,80006,0,0,0,50009,50009,50009,50009,50009,50009,50009,50010,50001,50001,50001,50011
Mandeep Singh,90340,80006,0,0,50004,50009,50009,50009,50009,50010,50010,50010,50010,50009,50009,50009,50008
Manimaran Siddharth,90800,80006,0,0,0,0,0,0,0,0,0,0,0,0,50004,50008,50010
Manish Pandey,90359,80006,50005,50010,50010,50014,50014,50014,50004,50004,50004,50004,50006,50006,50006,50006,50011
Manjot Kalra,90801,80006,0,0,0,0,0,0,0,0,0,0,50008,50008,50009,0,0
Manoj Tiwary,90360,80006,50008,50008,50004,50004,50004,50004,50008,50008,0,50015,50009,0,0,0,0
Manpreet Gony,90379,80006,50003,50003,50003,50002,50002,50009,0,0,0,50012,0,0,0,0,0
Manpreet Juneja,90344,80006,0,0,0,0,50008,50008,50006,50009,50005,50005,50005,50005,50001,0,0
Manvinder Bisla,90377,80006,0,50002,50009,50004,50004,50004,50004,50010,50015,50015,0,0,0,0,0
Manzoor Dar,90802,80006,0,0,0,0,0,0,0,0,0,0,50009,0,0,0,0
Marchant de Lange,90319,80016,0,0,0,0,50004,50004,50005,50005,50005,0,0,0,0,0,0
Marco Jansen,90320,80016,0,0,0,0,0,0,0,0,0,0,0,0,0,50005,50006
Marcus Stoinis,90375,80002,0,0,0,0,0,0,0,50008,50009,50009,50009,50010,50008,50008,50011
Mark Boucher,90384,80016,50010,50010,50010,50004,0,0,0,0,0,0,0,0,0,0,0
Mark Chapman,90803,80005,0,0,0,0,0,0,0,0,50008,50009,0,0,0,50003,0
Mark Watt,90804,80014,0,0,0,0,0,0,0,0,50012,0,0,0,0,0,0
Mark Wood,90339,80004,0,0,0,0,0,0,0,0,0,0,50003,0,0,0,50011
Marlon Samuels,90365,80020,0,0,0,0,50014,50014,0,0,0,50008,0,0,0,0,0
Martin Guptill,90353,80011,0,0,0,0,0,0,0,0,50005,50009,0,50006,0,0,0
Mashrafe Mortaza,90341,80003,0,50004,0,0,0,0,0,0,0,0,0,0,0,0,0
Matheesha Pathirana,90329,80017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50003
Matt Henry,90354,80011,0,0,0,0,0,0,50003,50003,0,50009,0,0,0,50001,0
Matt Machan,90805,80014,0,0,0,0,0,0,0,0,50010,0,0,0,0,0,0
Matthew Cross,90806,80014,0,0,0,0,0,0,0,0,0,50009,0,0,0,0,0
Matthew Hayden,90361,80002,50003,50003,50003,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Kelly,90807,80002,0,0,0,0,0,0,0,0,0,0,0,50004,0,0,0
Matthew Wade,90380,80002,0,0,0,50008,0,0,0,0,0,0,0,0,0,0,50007
Max O'Dowd,90808,80010,0,0,0,0,0,0,0,0,0,50005,0,0,0,0,0
Mayank Agarwal,90336,80006,0,0,0,50010,50010,50010,50008,50008,50008,50015,50009,50009,50009,50009,50009
Mayank Dagar,90809,80006,0,0,0,0,0,0,0,0,0,0,50009,0,0,0,0
Mayank Markande,90325,80006,0,0,0,0,0,0,0,0,0,0,50005,50005,50001,50001,50005
Mayank Tehlan,90810,80006,50008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayank Yadav,90811,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50011
Mehdi Hasan,90812,80006,0,0,0,0,0,0,0,0,0,0,50006,0,0,0,0
Mehran Khan,90813,80012,0,0,0,0,0,0,0,0,50005,0,0,0,0,0,0
Michael Clarke,90352,80002,0,0,0,0,50014,50014,0,0,0,0,0,0,0,0,0
Michael Klinger,90323,80002,0,0,0,50013,0,0,0,0,0,0,0,0,0,0,0
Michael Lumb,90355,80004,0,0,50001,50002,50002,50014,0,0,0,0,0,0,0,0,0
Michael Neser,90350,80002,0,0,0,0,0,50009,0,0,0,0,0,0,0,0,0
Mike Hussey,90347,80002,50003,50003,50003,50003,50003,50003,50005,50003,0,0,0,0,0,0,0
Milind Kumar,90814,80006,0,0,0,0,0,0,50008,0,0,0,0,50010,0,0,0
Milind Tandon,90815,80006,0,0,0,0,0,0,0,0,0,50015,0,0,0,0,0
Milinda Siriwardana,90816,80017,0,0,0,0,0,0,0,0,50015,0,0,0,0,0,0
Misbah-ul-Haq,90351,80013,50010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell Johnson,90349,80002,0,0,0,0,50005,50005,50009,50009,50009,50005,50004,0,0,0,0
Mitchell Marsh,90376,80002,0,50002,50002,50014,50014,50014,0,0,50015,50015,0,0,50006,50006,50008
Mitchell McClenaghan,90356,80011,0,0,0,0,0,0,0,50005,50005,50005,50005,50005,50005,0,0
Mitchell Santner,90357,80011,0,0,0,0,0,0,0,0,50015,50015,50003,50003,50003,50003,50003
Mitchell Starc,90338,80002,0,0,0,0,0,0,50010,50010,50010,0,50004,0,0,0,0
Mithun Manhas,90324,80006,50008,50008,50008,50014,50014,50014,50003,50003,0,0,0,0,0,0,0
Moeen Ali,90817,80004,0,0,0,0,0,0,0,0,0,0,50010,50010,50010,50003,50003
Mohammad Ashraful,90367,80003,0,50005,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Asif,90368,80013,50008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Hafeez,90369,80013,50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Kaif,90321,80006,50001,50001,50009,50010,50010,0,0,0,0,0,0,0,0,0,0
Mohammad Nabi,90370,80001,0,0,0,0,0,0,0,0,0,50006,50006,50006,50006,50006,50004
Mohammad Shahzad,90818,80001,0,0,0,0,0,0,0,0,50012,0,0,0,0,0,0
Mohammed Arif,90819,80006,0,50001,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammed Arshad Khan,90820,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50005
Mohammed Azharuddeen,90821,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,50010,0
Mohammed Shami,90371,80006,0,0,0,50004,50004,50004,50008,50008,50008,50008,50008,50009,50009,50009,50007
Mohammed Siraj,90372,80006,0,0,0,0,0,0,0,0,0,50006,50010,50010,50010,50010,50010
Mohit Sharma,90364,80006,0,0,0,0,0,50003,50003,50003,50009,50009,50009,50003,50008,50004,0
Mohnish Mishra,90345,80006,50002,0,50002,50014,50014,50014,0,0,0,0,0,0,0,0,0
Mohsin Khan,90373,80006,0,0,0,0,0,0,0,0,0,0,50005,0,50005,50005,50011
Moises Henriques,90343,80002,0,50004,50008,50005,0,50010,50006,50006,50006,50006,0,50009,0,50009,0
Monu Kumar,90374,80006,0,0,0,0,0,0,0,0,0,0,50003,50003,50003,50009,0
Morne Morkel,90326,80016,50001,50001,50001,50008,50008,50008,50004,50004,50004,0,0,0,0,0,0
Morné van Wyk,90366,80016,0,50004,0,0,0,0,0,0,0,0,0,0,0,0,0
Mudassar Bukhari,90822,80010,0,0,0,0,0,0,0,0,50012,0,0,0,0,0,0
Mujeeb Ur Rahman,90381,80001,0,0,0,0,0,0,0,0,0,0,50009,50009,50009,50006,50005
Munaf Patel,90363,80006,50001,50001,50001,50005,50005,50005,0,0,0,50012,50006,0,0,0,0
Munis Ansari,90823,80012,0,0,0,0,0,0,0,0,50006,0,0,0,0,0,0
Murali Kartik,90322,80006,50004,50004,50004,50014,50014,50010,50009,0,0,0,0,0,0,0,0
Murali Vijay,90334,80006,0,50003,50003,50003,50003,50003,50008,50009,50009,50009,50003,50003,50003,50010,0
Murugan Ashwin,90318,80006,0,0,0,0,0,0,0,0,50015,50008,50010,50009,50009,50009,50005
Musavir Khote,90337,80006,50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mustafizur Rahman,90383,80003,0,0,0,0,0,0,0,0,50006,50006,50005,0,0,50001,50008
Muttiah Muralitharan,90327,80017,50003,50003,50003,50013,50010,50010,50010,0,0,0,0,0,0,0,0
Nadeem Ahmed,90824,80005,0,0,0,0,0,0,0,0,50012,0,0,0,0,0,0
Najibullah Zadran,90825,80001,0,0,0,0,0,0,0,0,0,50005,0,0,0,0,0
Naman Ojha,90400,80006,0,50001,50001,50008,50008,50008,50006,50006,50006,50006,50008,50009,50010,0,0
Napoleon Einstein,90826,80006,50003,50003,0,0,0,0,0,0,0,0,0,0,0,0,0
Narayan Jagadeesan,90385,80006,0,0,0,0,0,0,0,0,0,0,50003,50003,50003,50003,50003
Nathan Bracken,90827,80002,50010,50010,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Coulter-Nile,90397,80002,0,0,0,0,0,50005,50008,50008,50008,50004,50010,50010,50005,50005,50001
Nathan Ellis,90399,80002,0,0,0,0,0,0,0,0,0,0,0,0,0,50009,50009
Nathan McCullum,90395,80011,0,0,0,50014,50014,50006,0,0,0,0,0,0,0,0,0
Nathan Rimmington,90393,80002,0,0,0,50009,50009,0,0,0,0,0,0,0,0,0,0
Nathu Singh,90390,80006,0,0,0,0,0,0,0,0,50005,50012,0,50008,0,0,0
Navdeep Saini,90388,80006,0,0,0,0,0,0,0,0,0,50008,50010,50010,50010,50010,50001
Nayan Doshi,90391,80006,0,0,50010,50001,50014,50014,0,0,0,0,0,0,0,50003,0
Neravanda Aiyappa,90828,80006,50010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niall O'Brien,90829,80007,0,0,0,0,0,0,0,0,50009,0,0,0,0,0,0
Nic Maddinson,90392,80002,0,0,0,0,0,0,50010,50010,0,0,0,0,0,0,0
Nicholas Pooran,90386,80020,0,0,0,0,0,0,0,0,0,50005,0,50009,50009,50009,50006
Nikhil Naik,90830,80006,0,0,0,0,0,0,0,50009,50009,50009,0,50004,50004,0,0
Niraj Patel,90394,80006,50001,50001,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitin Saini,90831,80006,50009,0,0,50009,50009,50009,0,0,0,0,0,0,0,0,0
Nitish Rana,90387,80006,0,0,0,0,0,0,0,50005,50005,50005,50004,50004,50004,50004,50004
Nizakat Khan,90832,80005,0,0,0,0,0,0,0,0,50006,0,0,0,0,0,0
Noor Ahmad,90833,80001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50007
Noor Ali Zadran,90834,80001,0,0,0,0,0,0,0,0,50015,0,0,0,0,0,0
Nuwan Kulasekara,90292,80017,0,0,0,50003,50003,50003,0,0,0,0,0,0,0,0,0
Nuwan Pradeep,90835,80017,0,0,0,50010,0,0,0,0,0,0,0,0,0,0,0
Nuwan Zoysa,90164,80017,50002,50002,0,0,0,0,0,0,0,0,0,0,0,0,0
