Player,PID,Nationality,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Agnivesh Ayachi,90661,80006,0,0,0,0,0,0,0,0,0,0,0,50009,0,0,0
Ahsan Malik,90662,80010,0,0,0,0,0,0,0,0,50006,50006,0,0,0,0,0
Aiden Blizzard,90034,80002,0,0,0,50005,50005,50005,0,50005,0,0,0,0,0,0,0
Ajantha Mendis,90096,80017,50004,50004,50004,0,0,50014,0,0,0,0,0,0,0,0,0
Ajay Lalcheta,90663,80012,0,0,0,0,0,0,0,0,50015,0,0,0,0,0,0
Ajinkya Rahane,90054,80006,50005,50005,50005,50001,50001,50001,50001,50001,50015,50015,50001,50001,50008,50008,50004
Ajit Agarkar,90026,80006,50004,50004,50004,50008,50008,50008,0,0,0,0,0,0,0,0,0
Ajit Chandila,90003,80006,0,0,0,50008,50001,50001,0,0,0,0,0,0,0,0,0
Ajitesh Argal,90664,80006,50009,50009,0,0,0,0,0,0,0,0,0,0,0,0,0
Akash Bhandari,90665,80006,0,0,0,50002,50002,0,0,0,0,0,0,0,0,0,0
Akash Deep,90050,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,50010,50010
Akash Madhwal,90666,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50005
Akash Singh,90051,80006,0,0,0,0,0,0,0,0,0,0,0,0,50001,50001,0
Akhil Herwadkar,90667,80006,0,0,0,0,0,0,0,50009,dd,0,0,0,0,0,0
Akila Dananjaya,90006,80017,0,0,0,0,0,50003,0,0,0,0,50005,0,0,0,0
Akshath Reddy,90419,80006,0,0,0,0,50002,50006,0,0,0,0,0,0,0,0,0
Akshay Karnewar,90668,80006,0,0,0,0,0,0,0,0,50010,0,0,0,0,0,0
Akshay Wakhare,90669,80006,0,0,0,0,0,0,0,50005,50005,0,0,0,0,0,0
Akshdeep Nath,90041,80006,0,0,0,0,0,0,0,0,50012,50012,50009,50010,50008,50008,0
Al Amin Hossain,90670,80003,0,0,0,0,0,0,0,0,50008,0,0,0,0,0,0
Alasdair Evans,90671,80014,0,0,0,0,0,0,0,0,50004,50005,0,0,0,0,0
Albie Morkel,90232,80016,50003,50003,50003,50003,50003,50003,50010,50008,50015,0,0,0,0,0,0
Alex Carey,90077,80002,0,0,0,0,0,0,0,0,0,0,0,0,50008,0,0
Alex Hales,90038,80004,0,0,0,0,0,0,0,50005,50008,0,50006,0,0,50003,50004
Alfonso Thomas,90036,80016,0,0,0,50014,50014,0,0,0,0,0,0,0,0,0,0
Ali Khan,90672,80019,0,0,0,0,0,0,0,0,0,0,0,0,50004,0,0
Ali Murtaza,90044,80006,0,0,50005,50005,50014,50014,0,50006,50006,50006,0,0,0,0,0
Alzarri Joseph,90072,80020,0,0,0,0,0,0,0,0,0,0,0,50005,0,0,50007
Aman Hakim Khan,90056,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50004
Amanpreet Singh,90673,80006,0,50009,50009,0,0,0,0,0,0,0,0,0,0,0,0
Ambati Rayudu,90078,80006,0,0,50005,50005,50005,50005,50005,50005,50005,50005,50003,50003,50003,50003,50003
Amir Ali,90674,80012,0,0,0,0,0,0,0,0,50004,0,0,0,0,0,0
Amir Hamza Hotak,90675,80001,0,0,0,0,0,0,0,0,50005,0,0,0,0,0,0
Amit Mishra,90010,80006,50008,50008,50008,50002,50002,50006,50006,50008,50008,50008,50008,50008,50008,50008,0
Amit Mishra,90010,80006,0,0,0,0,0,0,50001,0,50012,0,0,0,0,0,0
Amit Paunikar,90045,80006,0,0,50001,50001,50001,0,50006,0,0,0,0,0,0,0,0
Amit Singh,90676,80006,0,50001,50001,50001,50001,50001,0,0,0,0,0,0,0,0,0
Amit Uniyal,90019,80006,0,0,50001,50005,50005,50005,0,0,0,0,0,0,0,0,0
Amit Yadav,90677,80006,0,0,0,50009,50009,0,0,0,0,0,0,0,0,0,0
Amitoze Singh,90678,80006,0,0,0,0,50005,50005,0,0,0,0,0,0,0,0,0
Anand Rajan,90059,80006,0,0,0,50002,50002,50006,0,0,0,0,0,0,0,0,0
Andre Fletcher,90679,80020,0,0,0,0,0,0,0,0,50006,0,0,0,0,0,0
André Nel,90014,80016,50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Russell,90042,80020,0,0,0,0,50008,50008,50004,50004,50004,50004,50004,50004,50004,50004,50004
Andrew Flintoff,90007,80004,0,50003,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew McBrine,90680,80007,0,0,0,0,0,0,0,0,50006,50004,0,0,0,0,0
Andrew McDonald,90030,80002,0,50008,50008,50008,50010,50010,0,0,0,0,0,0,0,0,0
Andrew Symonds,90017,80002,50002,50002,50002,50005,0,0,0,0,0,0,0,0,0,0,0
Andrew Tye,90048,80002,0,0,0,0,0,0,0,50003,50012,50012,50009,50009,50001,50001,50011
Aneeshwar Gautam,90681,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50010
Angelo Mathews,90040,80017,0,50004,50004,50014,50014,50014,0,50008,0,50008,0,0,0,0,0
Aniket Choudhary,90005,80006,0,0,0,0,0,50009,0,0,0,50010,50010,0,0,0,0
Anil Kumble,90008,80006,50010,50010,50010,0,0,0,0,0,0,0,0,0,0,0,0
Aniruddha Joshi,90682,80006,0,0,0,0,0,0,0,0,0,0,50010,0,50001,50008,0
Anirudh Singh,90060,80006,0,0,50002,0,0,0,0,0,0,0,0,0,0,0,0
Anirudha Srikkanth,90496,80006,50003,0,50003,50003,50003,50003,50006,0,0,0,0,0,0,0,0
Ankeet Chavan,90022,80006,50005,0,0,50001,50001,50001,0,0,0,0,0,0,0,0,0
Ankit Bawne,90069,80006,0,0,0,0,0,0,0,0,0,50008,0,50006,0,0,0
Ankit Rajpoot,90073,80006,0,0,0,0,0,50003,50003,50003,50004,50004,50009,50009,50001,50006,50011
Ankit Sharma,90061,80006,0,0,0,50002,50002,50006,50001,50001,50015,50015,50001,0,0,50010,0
Ankit Soni,90062,80006,0,0,0,0,0,0,0,0,0,50012,0,0,0,0,0
Ankush Bains,90683,80006,0,0,0,0,0,0,50001,50003,50015,50015,0,50008,0,0,0
Anmolpreet Singh,90063,80006,0,0,0,0,0,0,0,0,0,0,0,50005,50005,50005,50005
Anrich Nortje,90015,80016,0,0,0,0,0,0,0,0,0,0,0,50004,50008,50008,50008
Ansh Patel,90684,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50009
Anshuman Rath,90685,80005,0,0,0,0,0,0,0,0,50005,50005,0,0,0,0,0
Anuj Rawat,90064,80006,0,0,0,0,0,0,0,0,0,0,0,0,50001,50001,50010
Anukul Roy,90075,80006,0,0,0,0,0,0,0,0,0,0,50005,50005,50005,50005,50004
Anunay Singh,90686,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50001
Anup Revandkar,90687,80006,50001,50001,0,0,0,0,0,0,0,0,0,0,0,0,0
Anureet Singh,90016,80006,0,50004,0,0,0,0,50009,50009,50009,50009,50001,0,0,0,0
Anustup Majumdar,90067,80006,0,0,0,0,50014,50014,0,0,0,0,0,0,0,0,0
Apoorv Wankhade,90688,80006,0,0,0,0,50005,0,50005,0,0,0,50004,0,0,50008,50011
Arindam Ghosh,90058,80006,0,50004,0,0,0,0,0,0,0,0,0,0,0,0,0
Arisht Singhvi,90689,80006,0,0,0,0,0,50008,0,0,0,0,0,0,0,0,0
Arjun Tendulkar,90690,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,50005,50005
Arjun Yadav,90076,80006,50002,50002,50002,50002,50002,0,0,0,0,0,0,0,0,0,0
