Match_ID,Match_City,Match_City_ID,Match_Date,Season,Season_ID,MatchNumber,Team1,Team1_ID,Team2,Team2_ID,Stadium_Name,Stadium_ID,TossWinner,Toss_Winner_ID,TossDecision,SuperOver,WinningTeam,Winner_Team_ID,WonBy,Margin,DL_used,MOM,MOM_ID,Umpire1,Ump1_ID,Umpire2,Ump2_ID
980975,Kolkata,10022,5/8/2016,2016,30009,38,Kolkata Knight Riders,50004,Gujarat Lions,50012,Eden Gardens,20008,Gujarat Lions,50012,field,N,Gujarat Lions,50012,Wickets,5,No,P Kumar,90410,M Erasmus,60015,RJ Tucker,60016
980973,Visakhapatnam,10031,5/8/2016,2016,30009,37,Mumbai Indians,50005,Sunrisers Hyderabad,50006,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,20006,Mumbai Indians,50005,field,N,Sunrisers Hyderabad,50006,Runs,85,No,A Nehra,90013,S Ravi,60019,C Shamshuddin,60022
980971,Chandigarh,10007,5/7/2016,2016,30009,36,Punjab Kings,50009,Delhi Capitals,50008,Punjab Cricket Association IS Bindra Stadium,20023,Delhi Capitals,50008,field,N,Punjab Kings,50009,Runs,9,No,MP Stoinis,90375,HDPK Dharmasena,60032,CK Nandan,60031
980969,Bengaluru,10003,5/7/2016,2016,30009,35,Royal Challengers Bangalore,50010,Rising Pune Supergiants,50015,M Chinnaswamy Stadium,20015,Royal Challengers Bangalore,50010,field,N,Royal Challengers Bangalore,50010,Wickets,7,No,V Kohli,90617,CB Gaffaney,60001,BNJ Oxenford,60003
980967,Hyderabad,10015,5/6/2016,2016,30009,34,Sunrisers Hyderabad,50006,Gujarat Lions,50012,Rajiv Gandhi International Stadium,20024,Sunrisers Hyderabad,50006,field,N,Sunrisers Hyderabad,50006,Wickets,5,No,B Kumar,90087,M Erasmus,60015,S Ravi,60019
980965,Delhi,10010,5/5/2016,2016,30009,33,Delhi Capitals,50008,Rising Pune Supergiants,50015,Feroz Shah Kotla,20009,Rising Pune Supergiants,50015,field,N,Rising Pune Supergiants,50015,Wickets,7,No,AM Rahane,90054,C Shamshuddin,60022,RJ Tucker,60016
980963,Kolkata,10022,5/4/2016,2016,30009,32,Kolkata Knight Riders,50004,Punjab Kings,50009,Eden Gardens,20008,Punjab Kings,50009,field,N,Kolkata Knight Riders,50004,Runs,7,No,AD Russell,90042,AK Chaudhary,60004,HDPK Dharmasena,60032
980961,Rajkot,10028,5/3/2016,2016,30009,31,Gujarat Lions,50012,Delhi Capitals,50008,Saurashtra Cricket Association Stadium,20025,Delhi Capitals,50008,field,N,Delhi Capitals,50008,Wickets,8,No,RR Pant,90483,CB Gaffaney,60001,BNJ Oxenford,60003
980959,Bengaluru,10003,5/2/2016,2016,30009,30,Royal Challengers Bangalore,50010,Kolkata Knight Riders,50004,M Chinnaswamy Stadium,20015,Kolkata Knight Riders,50004,field,N,Kolkata Knight Riders,50004,Wickets,5,No,AD Russell,90042,M Erasmus,60015,S Ravi,60019
980955,Rajkot,10028,5/1/2016,2016,30009,28,Gujarat Lions,50012,Punjab Kings,50009,Saurashtra Cricket Association Stadium,20025,Gujarat Lions,50012,field,N,Punjab Kings,50009,Runs,23,No,AR Patel,90070,BNJ Oxenford,60003,VK Sharma,60026
980957,Pune,10026,5/1/2016,2016,30009,29,Rising Pune Supergiants,50015,Mumbai Indians,50005,Maharashtra Cricket Association Stadium,20017,Mumbai Indians,50005,field,N,Mumbai Indians,50005,Wickets,8,No,RG Sharma,90471,AY Dandekar,60020,RJ Tucker,60016
980951,Delhi,10010,4/30/2016,2016,30009,26,Delhi Capitals,50008,Kolkata Knight Riders,50004,Feroz Shah Kotla,20009,Kolkata Knight Riders,50004,field,N,Delhi Capitals,50008,Runs,27,No,CR Brathwaite,90130,KN Ananthapadmanabhan,60006,M Erasmus,60015
