PID,Player_Name,Last_Update_Date
90259,Josh Hazlewood,2023-01-13
90777,K. Bhagath Varma,2023-01-13
90267,Kagiso Rabada,2023-01-13
90287,Kamlesh Nagarkoti,2023-01-13
90298,Kane Williamson,2023-01-13
90297,Karan Sharma,2023-01-13
90300,Karn Sharma,2023-01-13
90277,Kartik Tyagi,2023-01-13
90286,Karun Nair,2023-01-13
90279,KC Cariappa,2023-01-13
90284,Khaleel Ahmed,2023-01-13
90272,Kieron Pollard,2023-01-13
90288,KL Rahul,2023-01-13
90289,KM Asif,2023-01-13
90264,Krishnappa Gowtham,2023-01-13
90282,Krunal Pandya,2023-01-13
90295,Kuldeep Sen,2023-01-13
90270,Kuldeep Yadav,2023-01-13
90790,Kuldip Yadav,2023-01-13
90266,Kulwant Khejroliya,2023-01-13
90265,Kumar Kartikeya Singh,2023-01-13
90793,Kyle Mayers,2023-01-13
90308,Lalit Yadav,2023-01-13
90317,Liam Livingstone,2023-01-13
90310,Lockie Ferguson,2023-01-13
90304,Lungi Ngidi,2023-01-13
90796,Luvnith Sisodia,2023-01-13
90333,Maheesh Theekshana,2023-01-13
90378,Mahendra Singh Dhoni,2023-01-13
90358,Mahipal Lomror,2023-01-13
90335,Manan Vohra,2023-01-13
90340,Mandeep Singh,2023-01-13
90800,Manimaran Siddharth,2023-01-13
90359,Manish Pandey,2023-01-13
90320,Marco Jansen,2023-01-13
90375,Marcus Stoinis,2023-01-13
90339,Mark Wood,2023-01-13
90329,Matheesha Pathirana,2023-01-13
90380,Matthew Wade,2023-01-13
90336,Mayank Agarwal,2023-01-13
90325,Mayank Markande,2023-01-13
90811,Mayank Yadav,2023-01-13
90376,Mitchell Marsh,2023-01-13
90357,Mitchell Santner,2023-01-13
90817,Moeen Ali,2023-01-13
90370,Mohammad Nabi,2023-01-13
90820,Mohammed Arshad Khan,2023-01-13
90371,Mohammed Shami,2023-01-13
90372,Mohammed Siraj,2023-01-13
90373,Mohsin Khan,2023-01-13
90381,Mujeeb Ur Rahman,2023-01-13
90318,Murugan Ashwin,2023-01-13
90383,Mustafizur Rahman,2023-01-13
90385,Narayan Jagadeesan,2023-01-13
90397,Nathan Coulter-Nile,2023-01-13
90399,Nathan Ellis,2023-01-13
90388,Navdeep Saini,2023-01-13
90386,Nicholas Pooran,2023-01-13
90387,Nitish Rana,2023-01-13
90833,Noor Ahmad,2023-01-13
90403,Obed McCoy,2023-01-13
90404,Odean Smith,2023-01-13
90837,Pankaj Jaiswal,2023-01-13
90426,Pat Cummins,2023-01-13
90411,Pawan Negi,2023-01-13
90416,Prabhsimran Singh,2023-01-13
90427,Pradeep Sangwan,2023-01-13
90425,Prashant Solanki,2023-01-13
90330,Prasidh Krishna,2023-01-13
90843,Pratham Singh,2023-01-13
90844,Pratyush Singh,2023-01-13
90430,Prerak Mankad,2023-01-13
90641,Prithvi Raj,2023-01-13
90433,Prithvi Shaw,2023-01-13
90428,Priyam Garg,2023-01-13
90847,Priyank Panchal,2023-01-13
90439,Quinton de Kock,2023-01-13
90851,Rahul Buddhi,2023-01-13
90466,Rahul Chahar,2023-01-13
90456,Rahul Tewatia,2023-01-13
90461,Rahul Tripathi,2023-01-13
90458,Raj Angad Bawa,2023-01-13
90477,Rajat Patidar,2023-01-13
90854,Rajvardhan Hangargekar,2023-01-13
90462,Ramandeep Singh,2023-01-13
90855,Ramesh Kumar,2023-01-13
90463,Rashid Khan,2023-01-13
90464,Rasikh Salam Dar,2023-01-13
90442,Ravi Bishnoi,2023-01-13
90440,Ravichandran Ashwin,2023-01-13
90860,Ravikumar Samarth,2023-01-13
90459,Ravindra Jadeja,2023-01-13
90450,Ravisrinivasan Sai Kishore,2023-01-13
90479,Riley Meredith,2023-01-13
90476,Rinku Singh,2023-01-13
90493,Ripal Patel,2023-01-13
90483,Rishabh Pant,2023-01-13
90443,Rishi Dhawan,2023-01-13
90447,Riyan Parag,2023-01-13
90494,Robin Uthappa,2023-01-13
90471,Rohit Sharma,2023-01-13
90868,Roosh Kalaria,2023-01-13
90467,Ruturaj Gaikwad,2023-01-13
90875,Sakibul Gani,2023-01-13
90583,Sam Billings,2023-01-13
90507,Sandeep Lamichhane,2023-01-13
90524,Sandeep Sharma,2023-01-13
90513,Sandeep Warrier,2023-01-13
90451,Sanjay Yadav,2023-01-13
90582,Sanju Samson,2023-01-13
90559,Sarfaraz Khan,2023-01-13
90882,Saurabh Dubey,2023-01-13
90883,Saurabh Kumar,2023-01-13
90577,Saurabh Tiwary,2023-01-13
90519,Sean Abbott,2023-01-13
90537,Shahbaz Ahmed,2023-01-13
90509,Shahbaz Nadeem,2023-01-13
90332,Shahrukh Khan,2023-01-13
90889,Shams Mulani,2023-01-13
90560,Shardul Thakur,2023-01-13
90540,Shashank Singh,2023-01-13
90565,Sheldon Jackson,2023-01-13
90536,Sherfane Rutherford,2023-01-13
90501,Shikhar Dhawan,2023-01-13
90561,Shimron Hetmyer,2023-01-13
90502,Shivam Dube,2023-01-13
90541,Shivam Mavi,2023-01-13
90503,Shreyas Gopal,2023-01-13
90572,Shreyas Iyer,2023-01-13
90896,Shubham Garhwal,2023-01-13
90898,Shubham Sharma,2023-01-13
90546,Shubman Gill,2023-01-13
90504,Siddarth Kaul,2023-01-13
90547,Simarjeet Singh,2023-01-13
90296,Srikar Bharat,2023-01-13
90567,Steve Smith,2023-01-13
90905,Subhranshu Senapati,2023-01-13
90566,Sunil Narine,2023-01-13
90521,Suryakumar Yadav,2023-01-13
90910,Sushant Mishra,2023-01-13
90574,Suyash Prabhudessai,2023-01-13
90589,T Natarajan,2023-01-13
90915,Tanmay Agarwal,2023-01-13
90596,Tejas Baroka,2023-01-13
90599,Tilak Varma,2023-01-13
90598,Tim David,2023-01-13
90597,Tim Southee,2023-01-13
90594,Trent Boult,2023-01-13
90609,Tushar Deshpande,2023-01-13
90608,Tymal Mills,2023-01-13
90616,Umesh Yadav,2023-01-13
90614,Umran Malik,2023-01-13
90929,Usman Ghani,2023-01-13
90930,Utkarsh Singh,2023-01-13
90621,Vaibhav Arora,2023-01-13
90625,Varun Aaron,2023-01-13
90133,Varun Chakravarthy,2023-01-13
90626,Venkatesh Iyer,2023-01-13
90932,Vicky Ostwal,2023-01-13
90620,Vijay Shankar,2023-01-13
90617,Virat Kohli,2023-01-13
90624,Vishnu Vinod,2023-01-13
90438,Wanindu Hasaranga,2023-01-13
90634,Washington Sundar,2023-01-13
90636,Wriddhiman Saha,2023-01-13
90940,Writtick Chatterjee,2023-01-13
90644,Yash Dayal,2023-01-13
90942,Yash Dhull,2023-01-13
90943,Yash Thakur,2023-01-13
90646,Yashasvi Jaiswal,2023-01-13
90649,Yuzvendra Chahal,2023-01-13
