Match_ID,T1P1,T1P2,T1P3,T1P4,T1P5,T1P6,T1P7,T1P8,T1P9,T1P10,T1P11,T2P1,T2P2,T2P3,T2P4,T2P5,T2P6,T2P7,T2P8,T2P9,T2P10,T2P11,T1P1_ID,T1P2_ID,T1P3_ID,T1P4_ID,T1P5_ID,T1P6_ID,T1P7_ID,T1P8_ID,T1P9_ID,T1P10_ID,T1P11_ID,T2P1_ID,T2P2_ID,T2P3_ID,T2P4_ID,T2P5_ID,T2P6_ID,T2P7_ID,T2P8_ID,T2P9_ID,T2P10_ID,T2P11_ID
1136565,CA Lynn,SP Narine,RV Uthappa,N Rana,KD Karthik,RK Singh,AD Russell,TK Curran,R Vinay Kumar,Kuldeep Yadav,PP Chawla,SR Watson,AT Rayudu,SK Raina,MS Dhoni,SW Billings,RA Jadeja,DJ Bravo,DL Chahar,Harbhajan Singh,SN Thakur,Imran Tahir,90116,90566,90494,90387,90281,90476,90042,90600,90457,90299,90431,90569,90078,90549,90378,90583,90459,90149,90161,90203,90560,90221
1136564,AM Rahane,DJM Short,SV Samson,BA Stokes,RA Tripathi,JC Buttler,K Gowtham,S Gopal,DS Kulkarni,JD Unadkat,B Laughlin,WP Saha,S Dhawan,KS Williamson,MK Pandey,DJ Hooda,YK Pathan,Shakib Al Hasan,Rashid Khan,B Kumar,B Stanlake,S Kaul,90054,90160,90582,90094,90461,90237,90264,90503,90173,90239,90088,90636,90501,90298,90359,90151,90647,90539,90463,90087,90091,90504
1136562,C Munro,G Gambhir,SS Iyer,V Shankar,RR Pant,R Tewatia,CH Morris,DT Christian,A Mishra,TA Boult,Mohammed Shami,KL Rahul,MA Agarwal,Yuvraj Singh,KK Nair,DA Miller,MP Stoinis,AR Patel,R Ashwin,AJ Tye,MM Sharma,Mujeeb Ur Rahman,90112,90187,90572,90620,90483,90456,90119,90175,90010,90594,90371,90288,90336,90650,90286,90141,90375,90070,90440,90048,90364,90381
1136563,BB McCullum,Q de Kock,V Kohli,AB de Villiers,SN Khan,Mandeep Singh,CR Woakes,Washington Sundar,UT Yadav,K Khejroliya,YS Chahal,SP Narine,CA Lynn,RV Uthappa,N Rana,KD Karthik,RK Singh,AD Russell,R Vinay Kumar,PP Chawla,MG Johnson,Kuldeep Yadav,90097,90439,90617,90028,90559,90340,90131,90634,90616,90266,90649,90566,90116,90494,90387,90281,90476,90042,90457,90431,90349,90299
1136561,RG Sharma,E Lewis,Ishan Kishan,SA Yadav,HH Pandya,KH Pandya,KA Pollard,JJ Bumrah,MJ McClenaghan,Mustafizur Rahman,M Markande,SR Watson,AT Rayudu,SK Raina,KM Jadhav,MS Dhoni,RA Jadeja,DJ Bravo,DL Chahar,Harbhajan Singh,MA Wood,Imran Tahir,90471,90178,90225,90521,90211,90282,90272,90245,90356,90383,90325,90569,90078,90549,90290,90378,90459,90149,90161,90203,90339,90221
1082650,LMP Simmons,PA Patel,AT Rayudu,RG Sharma,KH Pandya,KA Pollard,HH Pandya,KV Sharma,MG Johnson,JJ Bumrah,SL Malinga,AM Rahane,RA Tripathi,SPD Smith,MS Dhoni,MK Tiwary,DT Christian,Washington Sundar,LH Ferguson,A Zampa,SN Thakur,JD Unadkat,90313,90418,90078,90471,90282,90272,90211,90300,90349,90245,90552,90054,90461,90567,90378,90360,90175,90634,90310,90020,90560,90239
1082649,LMP Simmons,PA Patel,AT Rayudu,RG Sharma,KH Pandya,KA Pollard,HH Pandya,MG Johnson,KV Sharma,JJ Bumrah,SL Malinga,CA Lynn,SP Narine,G Gambhir,RV Uthappa,IR Jaggi,C de Grandhomme,SA Yadav,PP Chawla,NM Coulter-Nile,UT Yadav,AS Rajpoot,90313,90418,90078,90471,90282,90272,90211,90349,90300,90245,90552,90116,90566,90187,90494,90223,90109,90521,90431,90397,90616,90073
1082648,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,V Shankar,NV Ojha,CJ Jordan,Bipul Sharma,B Kumar,Rashid Khan,S Kaul,RV Uthappa,CA Lynn,YK Pathan,G Gambhir,IR Jaggi,SA Yadav,SP Narine,PP Chawla,UT Yadav,NM Coulter-Nile,TA Boult,90142,90501,90298,90650,90620,90400,90124,90102,90087,90463,90504,90494,90116,90647,90187,90223,90521,90566,90431,90616,90397,90594
1082647,LMP Simmons,PA Patel,RG Sharma,AT Rayudu,KA Pollard,HH Pandya,KH Pandya,MJ McClenaghan,KV Sharma,JJ Bumrah,SL Malinga,AM Rahane,RA Tripathi,SPD Smith,MK Tiwary,MS Dhoni,DT Christian,Washington Sundar,LH Ferguson,A Zampa,SN Thakur,JD Unadkat,90313,90418,90471,90078,90272,90211,90282,90356,90300,90245,90552,90054,90461,90567,90360,90378,90175,90634,90310,90020,90560,90239
1082646,SV Samson,KK Nair,SS Iyer,RR Pant,MN Samuels,CJ Anderson,PJ Cummins,A Mishra,Mohammed Shami,S Nadeem,Z Khan,CH Gayle,Vishnu Vinod,V Kohli,TM Head,KM Jadhav,Sachin Baby,SR Watson,P Negi,HV Patel,Avesh Khan,YS Chahal,90582,90286,90572,90483,90365,90120,90426,90010,90371,90509,90652,90118,90624,90617,90604,90290,90522,90569,90411,90214,90081,90649
